INSERT INTO Products (Name, Description, Price, StockQuantity, Category_id, Image_url, Is_Deleted, Created_at, Updated_at) VALUES
('EQ Pants Baby Diaper L 24s', 'Comfortable baby diaper pants, size L, for babies with 24 pieces per pack.', 255.5, 0, 1, 'images/products/baby_care/EQ-Pants-Baby-Diaper-L-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('EQ Pants Baby Diaper M 24s', 'Soft and absorbent baby diaper pants, size M, containing 24 pieces per pack.', 206.2, 0, 1, 'images/products/baby_care/EQ-Pants-Baby-Diaper-M-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('EQ Pants Baby Diaper Mega Pack XL 66s', 'Large pack of baby diaper pants, size XL, perfect for longer use with 66 pieces.', 580.6, 0, 1, 'images/products/baby_care/EQ-PANTS-BABY-DIAPER-MEGA-PACK-XL-66S.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('EQ Pants Baby Diaper XXL 24s', 'Extra-large size baby diaper pants with 24 pieces per pack, designed for comfort and dryness.', 237, 0, 1, 'images/products/baby_care/EQ-Pants-Baby-Diaper-XXL-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Happy Diaper Pants L 24s', 'Happy brand baby diaper pants, size L, for active babies, comes with 24 pieces per pack.', 222,  0, 1, 'images/products/baby_care/Happy-Diaper-Pants-L-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Happy Diaper Pants M 12s', 'Smaller pack of Happy baby diaper pants, size M, with 12 pieces for quick changes.', 180,  0, 1, 'images/products/baby_care/Happy-Diaper-Pants-M-12s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Happy Diaper Pants XL 12s', 'Happy baby diaper pants, size XL, 12 pieces for bigger babies needing extra comfort.', 225.73,  0, 1, 'images/products/baby_care/Happy-Diaper-Pants-XL-12s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Happy Diaper Pants XXL 24s', 'Extra-large Happy diaper pants for bigger babies, with 24 pieces for extended usage.', 255.5,  0, 1, 'images/products/baby_care/Happy-Diaper-Pants-XXL-24s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Pampers Baby Wipes with Aloe 72s', 'Gentle baby wipes with aloe, perfect for sensitive skin, comes in a pack of 72 wipes.', 140.55,  0, 1, 'images/products/baby_care/Pampers-Baby-Wipes-with-Aloe-72s.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Johnsons Baby Lotion 500ml', 'Moisturizing Johnsons baby lotion, keeps your baby''s skin soft and smooth, 500ml bottle.', 333.87,  0, 1, 'images/products/baby_care/Johnsons-Baby-Lotion-500ml.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Johnsons Baby Shampoo 750ml', 'Johnsons baby shampoo, 750ml bottle, gentle formula for soft and healthy baby hair.', 379,  0, 1, 'images/products/baby_care/Johnsons-Baby-Shampoo-750ml.png', 0, '2024-10-06 12:28:00', '2024-10-06 12:28:00'),
('Beng-Beng Chocolate Wafer 26.5g 1s', 'Chocolate-covered rice crispies.', 10, 0, 2, 'images/products/snacks/Beng-beng.png', 0, '2024-10-06 17:15:00', '2024-10-06 17:15:00'),
('Chippy Chili', 'Spicy potato chips.', 30, 0, 2, 'images/products/snacks/Chippy-Chili.png', 0, '2024-10-06 17:15:00', '2024-10-06 17:15:00'),
('Choco Mucho Milk Chocolate 30g 1s', 'Milk chocolate bar with crispy rice.', 10, 0, 2, 'images/products/snacks/Choco-Mucho-Milk-Chocolate.png', 0, '2024-10-06 17:15:00', '2024-10-06 17:15:00'),
('Cloud 9 Classic 28g 1s', 'Chocolate-covered nougat and caramel.', 10, 0, 2, 'images/products/snacks/Cloud-9-Classic.png', 0, '2024-10-06 17:15:00', '2024-10-06 17:15:00'),
('Cracklings Salt and Vinegar 90g 1s', 'Crunchy pork rinds.', 20, 0, 2, 'images/products/snacks/Cracklings-Salt.png', 0, '2024-10-06 17:15:00', '2024-10-06 17:15:00'),
('Martys Crackling Plain Salted 26g 1s', 'Spicy pork cracklings.', 10, 0, 2, 'images/products/snacks/Martys-Crackling.png', 0, '2024-10-06 17:15:00', '2024-10-06 17:15:00'),
('Moby Caramel Puffs 25g 1s', 'Flavored corn puffs.', 10, 0, 2, 'images/products/snacks/Moby-Puffs.png', 0, '2024-10-06 17:15:00', '2024-10-06 17:15:00'),
('Mr. Chips Nacho Cheese 48g 1s', 'Nacho-flavored corn chips.', 10, 0, 2, 'images/products/snacks/Mr.Chips-Nacho-Cheese.png', 0, '2024-10-06 17:15:00', '2024-10-06 17:15:00'),
('Nova Country Cheddar 40g 1s', 'Cheddar-flavored corn chips.', 20, 0, 2, 'images/products/snacks/Nova-Country-Cheddar.png', 0, '2024-10-06 17:15:00', '2024-10-06 17:15:00'),
('PeeWee Spicy Chili 25g 1s', 'Spicy flavored snacks.', 10, 0, 2, 'images/products/snacks/Peewee-Spicy.png', 0, '2024-10-06 17:15:00', '2024-10-06 17:15:00'),
('Piattos Sour Cream & Onion 40g 1s', 'Sour cream flavored chips.', 20, 0, 2, 'images/products/snacks/Piattos-Sour-Cream.png', 0, '2024-10-06 17:15:00', '2024-10-06 17:15:00'),
('Bear Brand Fortified Powdered Milk 90g 1s', 'Nutritional milk for kids.', 34, 0, 3, 'images/products/beverages/Bear-Brand-90g.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Bear Brand Fortified Milk Swak Pack 33g 1s', 'Delicious milk drink.', 13, 0, 3, 'images/products/beverages/Bear-Brand-Swak.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Birch Tree Fortified 33g 1s', 'Tasty milk drink.', 12, 0, 3, 'images/products/beverages/Birch-Tree-Swak.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Chuckie 1L', 'Chocolate milk drink.', 97.75, 0, 3, 'images/products/beverages/Chuckie-1L.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Dutch Mill Yoghurt Drink Strawberry 180ml', 'Probiotic yogurt drink.', 20.75, 0, 3, 'images/products/beverages/Dutch-Mill-180ml.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
('Kopiko Black 3in1 Single 30g 1s', 'An instant 3-in-1 coffee with a darker and stronger taste.', 10, 0, 3, 'images/products/beverages/Kopiko-Black-Single.png', 0, '2024-10-06 19:14:00', '2024-10-06 19:14:00'),
